"","link","Received","Revised","Accepted","Published","Special_issue","days","is_s_issue"
"27","/2223-7747/11/23/3239",2022-10-21,2022-11-09,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Current Research on Seed Development, Germination and Vigor)
",35,"Yes"
"28","/2223-7747/11/23/3237",2022-10-26,2022-11-15,2022-11-18,2022-11-25,"(This article belongs to the Collection Feature Papers in Plant Protection)
",30,"Yes"
"29","/2223-7747/11/23/3240",2022-10-10,2022-11-21,2022-11-22,2022-11-25,"(This article belongs to the Special Issue Effect of Global Warming on the Physiology of Trees)
",46,"Yes"
"30","/2223-7747/11/23/3241",2022-10-10,2022-11-07,2022-11-11,2022-11-25,"(This article belongs to the Collection Feature Papers in Plant Systematics, Taxonomy, Nomenclature and Classification)
",46,"Yes"
"31","/2223-7747/11/23/3222",2022-10-30,2022-11-17,2022-11-21,2022-11-24,"(This article belongs to the Special Issue Extraction, Characterization and Biological Activity of Natural Products)
",25,"Yes"
"32","/2223-7747/11/23/3224",2022-09-09,2022-11-15,2022-11-16,2022-11-24,"(This article belongs to the Special Issue Biological and Chemical Activity of Metabolites of Medicinal Plants)
",76,"Yes"
"33","/2223-7747/11/23/3225",2022-10-22,2022-11-17,2022-11-22,2022-11-24,"(This article belongs to the Topic Sustainable Crop Production from Problematic Soils to Ensure Food Security)
",33,"Yes"
"34","/2223-7747/11/23/3223",2022-09-15,2022-11-11,2022-11-21,2022-11-24,"(This article belongs to the Special Issue Role of Epigenetics and Epigenomics in Plant Development and Their Association with Abiotic Environmental Stresses)
",70,"Yes"
"35","/2223-7747/11/23/3226",2022-10-30,2022-11-16,2022-11-24,2022-11-24,"(This article belongs to the Special Issue Advances in Ecophysiology of Root Systems-Environment Interaction)
",25,"Yes"
"36","/2223-7747/11/23/3227",2022-10-17,2022-11-14,2022-11-18,2022-11-25,"(This article belongs to the Special Issue New Insights into Plant Resistance to Stress)
",39,"Yes"
"37","/2223-7747/11/23/3228",2022-10-26,2022-11-18,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Genetic Diversity and Taxonomy of Algae)
",30,"Yes"
"38","/2223-7747/11/23/3229",2022-08-31,2022-09-28,2022-10-03,2022-11-25,"(This article belongs to the Section Plant Nutrition)
",86,"Yes"
"39","/2223-7747/11/23/3230",2022-10-31,2022-11-23,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Ornamental Plants and Urban Gardening)
",25,"Yes"
"40","/2223-7747/11/23/3231",2022-10-28,2022-11-17,2022-11-23,2022-11-25,"(This article belongs to the Special Issue Induced Resistance of Plants)
",28,"Yes"
"41","/2223-7747/11/23/3212",2022-10-30,2022-11-15,2022-11-21,2022-11-23,"(This article belongs to the Special Issue Advances in Carnivorous and Parasitic Plants)
",24,"Yes"
"42","/2223-7747/11/23/3213",2022-10-20,2022-11-10,2022-11-20,2022-11-23,"(This article belongs to the Special Issue Plant-Based Products and Ingredients: Isolation, Characterization, Bioactivity and Applications in Several Industries)
",34,"Yes"
"43","/2223-7747/11/23/3214",2022-10-08,2022-11-18,2022-11-21,2022-11-24,"(This article belongs to the Special Issue Improving Fertilizer Use Efficiency–Methods and Strategies for the Future)
",47,"Yes"
"44","/2223-7747/11/23/3215",2022-10-26,2022-11-13,2022-11-15,2022-11-24,"(This article belongs to the Special Issue Plants with Nutritional and Medicinal Uses: Their Applications and Value Addition in Achieving UN SDGs)
",29,"Yes"
"45","/2223-7747/11/23/3217",2022-10-20,2022-11-10,2022-11-21,2022-11-24,"(This article belongs to the Special Issue 10th Anniversary of Plants—Recent Advances and Perspectives)
",35,"Yes"
"46","/2223-7747/11/23/3216",2022-10-25,2022-11-15,2022-11-23,2022-11-24,"(This article belongs to the Special Issue Molecular Basis of Disease Resistance in Plants)
",30,"Yes"
"47","/2223-7747/11/23/3218",2022-08-23,2022-10-20,2022-10-22,2022-11-24,"(This article belongs to the Special Issue Sand Vegetation and Restoration)
",93,"Yes"
"48","/2223-7747/11/23/3219",2022-10-11,2022-11-19,2022-11-21,2022-11-24,"(This article belongs to the Special Issue New Insights in the Research of Bioactive Compounds from Plant Origin with Nutraceutical and Pharmaceutical Potential II)
",44,"Yes"
"49","/2223-7747/11/23/3220",2022-10-10,2022-11-10,2022-11-22,2022-11-24,"(This article belongs to the Section Plant Response to Abiotic Stress and Climate Change)
",45,"Yes"
"50","/2223-7747/11/23/3221",2022-10-24,2022-11-14,2022-11-21,2022-11-24,"(This article belongs to the Section Crop Physiology and Crop Production)
",31,"Yes"
"51","/2223-7747/11/23/3202",2022-10-20,2022-11-16,2022-11-18,2022-11-23,"(This article belongs to the Special Issue Harmful Substances in Plant-Based Food)
",34,"Yes"
"52","/2223-7747/11/23/3203",2022-11-06,2022-11-20,2022-11-21,2022-11-23,"(This article belongs to the Special Issue Plant Biostimulation)
",17,"Yes"
"53","/2223-7747/11/23/3204",2022-09-23,2022-11-16,2022-11-20,2022-11-23,"(This article belongs to the Special Issue Structure, Function, and Biosynthesis of Plant Cell Wall Proteins)
",61,"Yes"
"54","/2223-7747/11/23/3206",2022-10-29,2022-11-14,2022-11-17,2022-11-23,"(This article belongs to the Special Issue Water and Nitrogen Management in Soil-Crop System)
",25,"Yes"
"55","/2223-7747/11/23/3207",2022-08-08,2022-11-13,2022-11-20,2022-11-23,"(This article belongs to the Section Plant Molecular Biology)
",107,"Yes"
"56","/2223-7747/11/23/3208",2022-10-19,2022-11-17,2022-11-17,2022-11-23,"(This article belongs to the Special Issue New Insight into Research in In Vitro Plants Propagation)
",35,"Yes"
"57","/2223-7747/11/23/3205",2022-10-26,2022-11-16,2022-11-19,2022-11-23,"(This article belongs to the Section Plant Physiology and Metabolism)
",28,"Yes"
"58","/2223-7747/11/23/3209",2022-09-23,2022-11-04,2022-11-09,2022-11-23,"(This article belongs to the Special Issue New Insights into Plants' Defense Mechanisms against Abiotic Stresses)
",61,"Yes"
"59","/2223-7747/11/23/3210",2022-09-30,2022-11-04,2022-11-21,2022-11-23,"(This article belongs to the Section Plant Ecology)
",54,"Yes"
"60","/2223-7747/11/23/3211",2022-10-17,2022-11-04,2022-11-07,2022-11-23,"(This article belongs to the Special Issue Agricultural Nanotechnology)
",37,"Yes"
"61","/2223-7747/11/23/3192",2022-10-10,2022-11-16,2022-11-20,2022-11-22,"(This article belongs to the Section Plant Development and Morphogenesis)
",43,"Yes"
"62","/2223-7747/11/23/3193",2022-10-28,2022-11-09,2022-11-14,2022-11-22,"(This article belongs to the Special Issue Habitat and Plant Conservation across the Mediterranean Basin in a Global Change Scenario)
",25,"Yes"
"63","/2223-7747/11/23/3194",2022-10-21,2022-11-12,2022-11-14,2022-11-22,"(This article belongs to the Section Plant Ecology)
",32,"Yes"
"64","/2223-7747/11/23/3195",2022-10-06,2022-11-17,2022-11-18,2022-11-22,"(This article belongs to the Special Issue Crop Cultivation and Low Carbon Agriculture)
",47,"Yes"
"65","/2223-7747/11/23/3196",2022-11-01,2022-11-18,2022-11-19,2022-11-22,"(This article belongs to the Topic Plant Breeding, Genetics and Genomics)
",21,"Yes"
"66","/2223-7747/11/23/3197",2022-10-01,2022-11-16,2022-11-17,2022-11-22,"(This article belongs to the Collection Feature Papers in Plant Physiology and Metabolism)
",52,"Yes"
"67","/2223-7747/11/23/3198",2022-09-20,2022-11-18,2022-11-20,2022-11-22,"(This article belongs to the Special Issue Advances in Ecophysiology of Root Systems-Environment Interaction)
",63,"Yes"
"68","/2223-7747/11/23/3199",2022-09-15,2022-11-16,2022-11-21,2022-11-23,"(This article belongs to the Special Issue Plant Science Research in Nanjing Agricultural University: Commemorating the University’s 120th Anniversary)
",69,"Yes"
"69","/2223-7747/11/23/3200",2022-10-21,2022-11-15,2022-11-20,2022-11-23,"(This article belongs to the Section Plant–Soil Interactions)
",33,"Yes"
"70","/2223-7747/11/23/3201",2022-10-06,2022-11-09,2022-11-17,2022-11-23,"(This article belongs to the Special Issue Advances in Alternative Measures in Plant Protection)
",48,"Yes"
"71","/2223-7747/11/22/3182",2022-07-09,2022-11-13,2022-11-16,2022-11-21,"(This article belongs to the Special Issue Symbiosis of Plants with Mycorrhizal and Endophytic Fungi)
",135,"Yes"
"72","/2223-7747/11/22/3185",2022-10-14,2022-11-09,2022-11-19,2022-11-21,"(This article belongs to the Special Issue Advances in Cereal Science and Cereal Quality)
",38,"Yes"
"73","/2223-7747/11/22/3184",2022-10-18,2022-11-10,2022-11-15,2022-11-21,"(This article belongs to the Special Issue Plant Science Research in Nanjing Agricultural University: Commemorating the University’s 120th Anniversary)
",34,"Yes"
"74","/2223-7747/11/22/3183",2022-10-02,2022-11-09,2022-11-10,2022-11-21,"(This article belongs to the Special Issue Phytochemical and Nutritional Analyses of Medicinal and Aromatic Plants (MAP))
",50,"Yes"
"75","/2223-7747/11/23/3186",2022-11-02,2022-11-15,2022-11-16,2022-11-22,"(This article belongs to the Special Issue Plant Tissue Culture III)
",20,"Yes"
"76","/2223-7747/11/23/3187",2022-10-18,2022-11-13,2022-11-17,2022-11-22,"(This article belongs to the Special Issue Plant Science Research in Nanjing Agricultural University: Commemorating the University’s 120th Anniversary)
",35,"Yes"
"77","/2223-7747/11/23/3188",2022-09-22,2022-11-17,2022-11-19,2022-11-22,"(This article belongs to the Special Issue Plant Genetic Resources In Vitro Culture: Present Situation and Prospects for Propagation, Conservation and Sustainable Use)
",61,"Yes"
"78","/2223-7747/11/23/3189",2022-10-10,2022-11-13,2022-11-16,2022-11-22,"(This article belongs to the Special Issue Duckweed: Research Meets Applications)
",43,"Yes"
"79","/2223-7747/11/23/3190",2022-09-29,2022-11-15,2022-11-18,2022-11-22,"(This article belongs to the Topic Weed Resistance to Herbicides: Assessing and Finding Solutions for a Complex Problem)
",54,"Yes"
"80","/2223-7747/11/23/3191",2022-11-01,2022-11-16,2022-11-16,2022-11-22,"(This article belongs to the Special Issue Sand Vegetation and Restoration)
",21,"Yes"
"81","/2223-7747/11/22/3172",2022-10-31,2022-11-14,2022-11-16,2022-11-20,"(This article belongs to the Special Issue Advances in Alternative Measures in Plant Protection)
",20,"Yes"
"82","/2223-7747/11/22/3173",2022-10-18,2022-11-14,2022-11-16,2022-11-20,"(This article belongs to the Special Issue Wild Edible and Medicinal Plants: Ecophysiological and Cultural Aspects for Commercial Cultivation)
",33,"Yes"
"83","/2223-7747/11/22/3174",2022-08-28,2022-11-03,2022-11-18,2022-11-20,"(This article belongs to the Special Issue Deep Learning in Plant Sciences)
",84,"Yes"
"84","/2223-7747/11/22/3175",2022-10-03,2022-11-14,2022-11-16,2022-11-21,"(This article belongs to the Special Issue Advances in the Valorization of Fruit and Vegetable Wastes and By-Products)
",49,"Yes"
"85","/2223-7747/11/22/3176",2022-10-17,2022-11-14,2022-11-16,2022-11-21,"(This article belongs to the Special Issue Antarctic Plants Responses to Abiotic Stress)
",35,"Yes"
"86","/2223-7747/11/22/3177",2022-10-13,2022-11-09,2022-11-15,2022-11-21,"(This article belongs to the Section Plant Development and Morphogenesis)
",39,"Yes"
"87","/2223-7747/11/22/3179",2022-10-13,2022-11-16,2022-11-16,2022-11-21,"(This article belongs to the Special Issue Medicinal Plants: Advances in Phytochemistry and Ethnobotany)
",39,"Yes"
"88","/2223-7747/11/22/3180",2022-08-18,2022-11-14,2022-11-15,2022-11-21,"(This article belongs to the Special Issue Plant Biostimulation)
",95,"Yes"
"89","/2223-7747/11/22/3181",2022-10-24,2022-11-16,2022-11-16,2022-11-21,"(This article belongs to the Special Issue Advance in Orchidaceae Research)
",28,"Yes"
"90","/2223-7747/11/22/3178",2022-10-12,2022-11-07,2022-11-16,2022-11-21,"(This article belongs to the Special Issue Physiological Mechanisms and Adaptation Strategies to Improve Abiotic Stress Tolerance in Crop Plants)
",40,"Yes"
"91","/2223-7747/11/22/3163",2022-09-22,2022-10-12,2022-10-24,2022-11-18,"(This article belongs to the Special Issue Taxonomy and Nomenclature of Caryophyllales)
",57,"Yes"
"92","/2223-7747/11/22/3164",2022-10-24,2022-11-17,2022-11-17,2022-11-18,"(This article belongs to the Special Issue Plant Extracts and Their Cytotoxic Activities)
",25,"Yes"
"93","/2223-7747/11/22/3159",2022-09-16,2022-11-02,2022-11-15,2022-11-18,"(This article belongs to the Special Issue Bioactive Compounds from Medicinal Plants and Plant-Based Foods: Advances and Opportunities)
",63,"Yes"
"94","/2223-7747/11/22/3165",2022-10-05,2022-11-10,2022-11-15,2022-11-18,"(This article belongs to the Special Issue Ethnobotanical Uses, Biological Properties and Phytoconstituents of Endemic Plants)
",44,"Yes"
"95","/2223-7747/11/22/3166",2022-09-09,2022-11-07,2022-11-17,2022-11-18,"(This article belongs to the Special Issue Integrative Taxonomy of Plants)
",70,"Yes"
"96","/2223-7747/11/22/3167",2022-10-04,2022-11-04,2022-11-10,2022-11-18,"(This article belongs to the Special Issue Advances in Seed Longevity)
",45,"Yes"
"97","/2223-7747/11/22/3168",2022-09-14,2022-11-11,2022-11-15,2022-11-18,"(This article belongs to the Special Issue Plant Biotechnology and Crop Improvement)
",65,"Yes"
"98","/2223-7747/11/22/3169",2022-10-07,2022-11-13,2022-11-15,2022-11-19,"(This article belongs to the Special Issue Advances in Induced Plant Defense and Biological Control)
",43,"Yes"
"99","/2223-7747/11/22/3170",2022-10-01,2022-11-08,2022-11-12,2022-11-19,"(This article belongs to the Collection Feature Papers in Plant Physiology and Metabolism)
",49,"Yes"
"100","/2223-7747/11/22/3171",2022-10-29,2022-11-11,2022-11-15,2022-11-19,"(This article belongs to the Special Issue Eco-Geography and Taxonomy of Plants in the Mediterranean Area)
",21,"Yes"
"101","/2223-7747/11/22/3152",2022-10-06,2022-11-03,2022-11-12,2022-11-18,"",43,"No"
"102","/2223-7747/11/22/3153",2022-10-15,2022-11-06,2022-11-16,2022-11-18,"(This article belongs to the Special Issue Vegetable and Fruit Production)
",34,"Yes"
"103","/2223-7747/11/22/3154",2022-09-30,2022-11-04,2022-11-14,2022-11-18,"(This article belongs to the Special Issue Current Soil-Health Status of Our Soils and Near-Term Trends on Potential Food Productivity)
",49,"Yes"
"104","/2223-7747/11/22/3155",2022-09-27,2022-11-07,2022-11-09,2022-11-18,"(This article belongs to the Special Issue Function of Non-coding RNA in Plants)
",52,"Yes"
"105","/2223-7747/11/22/3156",2022-10-26,2022-11-15,2022-11-15,2022-11-18,"(This article belongs to the Special Issue Extraction Technologies, Isolation, Separation, and Application of Phytochemicals)
",23,"Yes"
"106","/2223-7747/11/22/3157",2022-10-03,2022-11-08,2022-11-10,2022-11-18,"(This article belongs to the Special Issue Pathogenesis and Disease Control in Crops)
",46,"Yes"
"107","/2223-7747/11/22/3158",2022-10-22,2022-11-10,2022-11-14,2022-11-18,"(This article belongs to the Special Issue The Regulation of Plant Secondary Metabolism in Response to Biotic and Abiotic Stress)
",27,"Yes"
"108","/2223-7747/11/22/3160",2022-06-29,2022-10-17,2022-11-15,2022-11-18,"(This article belongs to the Special Issue DNA Barcoding for Herbal Medicines)
",142,"Yes"
"109","/2223-7747/11/22/3161",2022-10-06,2022-10-28,2022-11-03,2022-11-18,"(This article belongs to the Section Plant Ecology)
",43,"Yes"
"110","/2223-7747/11/22/3162",2022-10-20,2022-11-13,2022-11-15,2022-11-18,"(This article belongs to the Section Plant Development and Morphogenesis)
",29,"Yes"
"111","/2223-7747/11/22/3143",2022-10-07,2022-11-10,2022-11-10,2022-11-17,"(This article belongs to the Special Issue Structural and Functional Analysis of Extracts in Plants III)
",41,"Yes"
"112","/2223-7747/11/22/3142",2022-10-12,2022-11-11,2022-11-14,2022-11-17,"(This article belongs to the Special Issue Effects of Chronic Irradiation in Plants)
",36,"Yes"
"113","/2223-7747/11/22/3144",2022-10-06,2022-11-04,2022-11-11,2022-11-17,"(This article belongs to the Topic Plant-Associated Microbiota: From the Assembly to the Function)
",42,"Yes"
"114","/2223-7747/11/22/3146",2022-09-22,2022-10-21,2022-11-10,2022-11-17,"(This article belongs to the Special Issue New Challenges for Understanding the Molecular Regulation of Plant Developmental Processes)
",56,"Yes"
"115","/2223-7747/11/22/3147",2022-10-17,2022-11-08,2022-11-15,2022-11-17,"(This article belongs to the Special Issue Medicinal Plants: Advances in Phytochemistry and Ethnobotany)
",31,"Yes"
"116","/2223-7747/11/22/3145",2022-09-06,2022-10-06,2022-11-11,2022-11-17,"(This article belongs to the Special Issue Recent Advances in Rice and Tomato Molecular Breeding)
",72,"Yes"
"117","/2223-7747/11/22/3149",2022-10-26,2022-11-14,2022-11-14,2022-11-17,"(This article belongs to the Special Issue Quality Evaluation and Functional Food Development of Cereals, Pseudocereals and Pulse Products)
",22,"Yes"
"118","/2223-7747/11/22/3148",2022-09-19,2022-10-25,2022-11-14,2022-11-17,"(This article belongs to the Special Issue Multi-Omics Approaches to Plant Stress: From Genotype to Phenotype)
",59,"Yes"
"119","/2223-7747/11/22/3150",2022-10-31,2022-11-13,2022-11-15,2022-11-17,"(This article belongs to the Special Issue Phytochemistry of Aromatic and Medicinal Plants)
",17,"Yes"
"120","/2223-7747/11/22/3151",2022-09-28,2022-10-22,2022-10-25,2022-11-17,"(This article belongs to the Topic Plant Ecophysiology)
",50,"Yes"
"121","/2223-7747/11/22/3133",2022-10-31,2022-11-13,2022-11-14,2022-11-16,"(This article belongs to the Section Phytochemistry)
",16,"Yes"
"122","/2223-7747/11/22/3132",2022-07-14,2022-10-30,2022-11-07,2022-11-16,"(This article belongs to the Special Issue Recent Advances in Genetics, Genomics and Breeding of Vegetable Crops)
",125,"Yes"
"123","/2223-7747/11/22/3134",2022-10-26,2022-11-08,2022-11-13,2022-11-16,"(This article belongs to the Special Issue Phytochemicals: Antioxidant, Antitumoral and Anti-inflammatory Activity)
",21,"Yes"
"124","/2223-7747/11/22/3135",2022-10-14,2022-11-07,2022-11-10,2022-11-16,"(This article belongs to the Special Issue Specialized Metabolites of Plants—Evaluation of Functional and Biological Value)
",33,"Yes"
"125","/2223-7747/11/22/3136",2022-10-14,2022-10-26,2022-11-05,2022-11-16,"(This article belongs to the Special Issue Interaction of Plants and Endophytic Microorganisms: Molecular Aspects, Biological Functions, Community Composition, and Practical Applications Ⅱ)
",33,"Yes"
"126","/2223-7747/11/22/3137",2022-09-01,2022-11-03,2022-11-15,2022-11-16,"(This article belongs to the Special Issue Selected Papers from the 3rd International Conference on Scientific Actualities and Innovations in Horticulture (SAIH2022))
",76,"Yes"
"127","/2223-7747/11/22/3138",2022-09-27,2022-11-07,2022-11-09,2022-11-16,"(This article belongs to the Special Issue Physiological and Genetic Mechanisms of Abiotic Stress Tolerance in Crops)
",50,"Yes"
"128","/2223-7747/11/22/3139",2022-10-07,2022-11-08,2022-11-14,2022-11-16,"(This article belongs to the Special Issue Selected Papers from the 3rd International Conference on Scientific Actualities and Innovations in Horticulture (SAIH2022))
",40,"Yes"
"129","/2223-7747/11/22/3140",2022-09-14,2022-11-03,2022-11-13,2022-11-16,"(This article belongs to the Special Issue Advances in Genetics and Breeding of Rapeseed (Brassica napus L.))
",63,"Yes"
"130","/2223-7747/11/22/3141",2022-10-04,2022-11-11,2022-11-14,2022-11-16,"(This article belongs to the Special Issue Molecular Genetics of Disease Resistance in Fruits)
",43,"Yes"
"131","/2223-7747/11/22/3122",2022-10-21,2022-11-09,2022-11-12,2022-11-15,"(This article belongs to the Special Issue Genetic and Environmental Factors Affecting Seed Germination)
",25,"Yes"
"132","/2223-7747/11/22/3123",2022-07-17,2022-09-25,2022-10-19,2022-11-15,"(This article belongs to the Special Issue Plant-Microbe Interactions 2022)
",121,"Yes"
"133","/2223-7747/11/22/3124",2022-10-03,2022-10-26,2022-11-02,2022-11-16,"(This article belongs to the Special Issue Applications of Plant Tissue Culture: New Insight into Plant Improvement Research Using Plant Tissue Culture and Plant Modification Techniques)
",44,"Yes"
"134","/2223-7747/11/22/3125",2022-11-02,2022-11-11,2022-11-12,2022-11-16,"(This article belongs to the Special Issue Biosafety and Ecological Assessment of Engineered and Edited Crops)
",14,"Yes"
"135","/2223-7747/11/22/3126",2022-09-07,2022-11-04,2022-11-06,2022-11-16,"(This article belongs to the Special Issue Functional Plant Anatomy – Structure, Function and Environment)
",70,"Yes"
"136","/2223-7747/11/22/3127",2022-10-13,2022-11-09,2022-11-14,2022-11-16,"",34,"No"
"137","/2223-7747/11/22/3128",2022-10-07,2022-10-25,2022-11-07,2022-11-16,"(This article belongs to the Special Issue Extraction, Characterization and Biological Activity of Natural Products)
",40,"Yes"
"138","/2223-7747/11/22/3129",2022-10-04,2022-11-08,2022-11-09,2022-11-16,"(This article belongs to the Special Issue Plant Essential Oil with Biological Activity II)
",43,"Yes"
"139","/2223-7747/11/22/3130",2022-09-25,2022-11-09,2022-11-14,2022-11-16,"(This article belongs to the Special Issue Cell Wall Dynamics: Formation and Disassembly from a Transcriptomic and Molecular Perspective)
",52,"Yes"
"140","/2223-7747/11/22/3131",2022-10-06,2022-11-12,2022-11-14,2022-11-16,"(This article belongs to the Collection Feature Papers in Plant‒Soil Interactions)
",41,"Yes"
"141","/2223-7747/11/22/3112",2022-10-02,2022-11-08,2022-11-10,2022-11-15,"(This article belongs to the Special Issue Applications of Bioinformatics in Plant Resources and Omics)
",44,"Yes"
"142","/2223-7747/11/22/3113",2022-10-19,2022-11-06,2022-11-11,2022-11-15,"(This article belongs to the Section Crop Physiology and Crop Production)
",27,"Yes"
"143","/2223-7747/11/22/3115",2022-08-31,2022-10-30,2022-11-07,2022-11-15,"(This article belongs to the Special Issue New Insights in the Research of Bioactive Compounds from Plant Origin with Nutraceutical and Pharmaceutical Potential II)
",76,"Yes"
"144","/2223-7747/11/22/3114",2022-10-13,2022-11-12,2022-11-14,2022-11-15,"(This article belongs to the Special Issue Plant Chromosome Biology and Genomics for Breeding)
",33,"Yes"
"145","/2223-7747/11/22/3116",2022-10-03,2022-11-03,2022-11-07,2022-11-15,"(This article belongs to the Special Issue Wheat Breeding: From Genetic Diversity to End-Use Quality)
",43,"Yes"
"146","/2223-7747/11/22/3117",2022-09-30,2022-11-09,2022-11-10,2022-11-15,"(This article belongs to the Special Issue Adaptation of Mutualistic Plant-Microbe Systems to Abiotic Stresses)
",46,"Yes"
"147","/2223-7747/11/22/3118",2022-10-08,2022-11-04,2022-11-13,2022-11-15,"(This article belongs to the Section Plant Protection and Biotic Interactions)
",38,"Yes"
"148","/2223-7747/11/22/3120",2022-09-16,2022-10-21,2022-11-10,2022-11-15,"(This article belongs to the Special Issue Recent Advances in Genetics, Genomics and Breeding of Vegetable Crops)
",60,"Yes"
"149","/2223-7747/11/22/3119",2022-10-23,2022-11-10,2022-11-14,2022-11-15,"(This article belongs to the Special Issue New Insights into Plant Resistance to Stress)
",23,"Yes"
"150","/2223-7747/11/22/3121",2022-10-26,2022-11-07,2022-11-11,2022-11-15,"(This article belongs to the Special Issue Diversity, Ecology and Taxonomy of Cryptogams)
",20,"Yes"
"151","/2223-7747/11/22/3102",2022-09-01,2022-10-02,2022-10-14,2022-11-15,"(This article belongs to the Special Issue Alpine Ecosystems in a Changing World)
",75,"Yes"
