"","link","Received","Revised","Accepted","Published","Special_issue","days"
"133","/2223-7747/11/22/3095",2022-10-14,2022-11-11,2022-11-11,2022-11-14,"Yes",31
"134","/2223-7747/11/22/3091",2022-09-20,2022-11-08,2022-11-09,2022-11-14,"Yes",55
"135","/2223-7747/11/22/3096",2022-09-09,2022-10-12,2022-10-14,2022-11-14,"Yes",66
"136","/2223-7747/11/22/3097",2022-10-17,2022-11-10,2022-11-10,2022-11-14,"Yes",28
"137","/2223-7747/11/22/3099",2022-09-15,2022-11-03,2022-11-10,2022-11-15,"Yes",61
"138","/2223-7747/11/22/3100",2022-10-03,2022-11-09,2022-11-11,2022-11-15,"Yes",43
"139","/2223-7747/11/22/3098",2022-10-01,2022-11-01,2022-11-04,2022-11-15,"Yes",45
"140","/2223-7747/11/22/3101",2022-10-25,2022-11-06,2022-11-09,2022-11-15,"Yes",21
"141","/2223-7747/11/22/3083",2022-10-20,2022-11-08,2022-11-09,2022-11-14,"Yes",25
"142","/2223-7747/11/22/3084",2022-09-01,2022-10-09,2022-11-08,2022-11-14,"Yes",74
"143","/2223-7747/11/22/3087",2022-10-24,2022-11-07,2022-11-09,2022-11-14,"Yes",21
"144","/2223-7747/11/22/3085",2022-09-13,2022-11-06,2022-11-08,2022-11-14,"Yes",62
"145","/2223-7747/11/22/3086",2022-09-23,2022-11-10,2022-11-11,2022-11-14,"Yes",52
"146","/2223-7747/11/22/3082",2022-10-13,2022-11-03,2022-11-04,2022-11-14,"Yes",32
"147","/2223-7747/11/22/3088",2022-10-26,2022-11-11,2022-11-11,2022-11-14,"Yes",19
"148","/2223-7747/11/22/3089",2022-09-30,2022-11-04,2022-11-11,2022-11-14,"Yes",45
"149","/2223-7747/11/22/3092",2022-10-20,2022-10-31,2022-11-10,2022-11-14,"Yes",25
"150","/2223-7747/11/22/3090",2022-10-24,2022-11-03,2022-11-07,2022-11-14,"Yes",21
"151","/2223-7747/11/22/3073",2022-10-21,2022-11-04,2022-11-11,2022-11-13,"Yes",23
"152","/2223-7747/11/22/3071",2022-09-19,2022-10-26,2022-11-10,2022-11-13,"Yes",55
"153","/2223-7747/11/22/3074",2022-09-12,2022-11-03,2022-11-10,2022-11-13,"Yes",62
"154","/2223-7747/11/22/3075",2022-07-29,2022-11-10,2022-11-11,2022-11-13,"Yes",107
"155","/2223-7747/11/22/3076",2022-10-06,2022-10-31,2022-11-10,2022-11-13,"Yes",38
"156","/2223-7747/11/22/3077",2022-10-27,2022-11-08,2022-11-11,2022-11-13,"Yes",17
"157","/2223-7747/11/22/3078",2022-10-12,2022-11-06,2022-11-09,2022-11-14,"Yes",33
"158","/2223-7747/11/22/3080",2022-10-19,2022-11-05,2022-11-09,2022-11-14,"Yes",26
"159","/2223-7747/11/22/3079",2022-09-18,2022-10-20,2022-10-31,2022-11-14,"Yes",57
"160","/2223-7747/11/22/3081",2022-10-27,2022-11-06,2022-11-10,2022-11-14,"Yes",18
"161","/2223-7747/11/22/3062",2022-07-30,2022-10-07,2022-10-19,2022-11-11,"Yes",104
"162","/2223-7747/11/22/3063",2022-09-21,2022-11-03,2022-11-09,2022-11-11,"No",51
"163","/2223-7747/11/22/3064",2022-10-09,2022-11-02,2022-11-10,2022-11-11,"Yes",33
"164","/2223-7747/11/22/3065",2022-10-20,2022-11-07,2022-11-11,2022-11-12,"Yes",23
"165","/2223-7747/11/22/3066",2022-10-27,2022-11-07,2022-11-09,2022-11-12,"Yes",16
"166","/2223-7747/11/22/3067",2022-10-13,2022-11-03,2022-11-10,2022-11-12,"Yes",30
"167","/2223-7747/11/22/3068",2022-10-02,2022-11-11,2022-11-11,2022-11-12,"Yes",41
"168","/2223-7747/11/22/3069",2022-10-14,2022-11-01,2022-11-04,2022-11-12,"Yes",29
"169","/2223-7747/11/22/3070",2022-10-24,2022-11-08,2022-11-11,2022-11-13,"Yes",20
"170","/2223-7747/11/22/3072",2022-08-31,2022-09-14,2022-10-07,2022-11-13,"Yes",74
"171","/2223-7747/11/22/3052",2022-10-04,2022-10-20,2022-11-08,2022-11-11,"Yes",38
"172","/2223-7747/11/22/3053",2022-09-30,2022-11-04,2022-11-07,2022-11-11,"Yes",42
"173","/2223-7747/11/22/3055",2022-10-19,2022-11-08,2022-11-09,2022-11-11,"Yes",23
"174","/2223-7747/11/22/3054",2022-09-12,2022-10-30,2022-11-07,2022-11-11,"Yes",60
"175","/2223-7747/11/22/3056",2022-10-18,2022-11-05,2022-11-10,2022-11-11,"Yes",24
"176","/2223-7747/11/22/3057",2022-10-20,2022-11-07,2022-11-09,2022-11-11,"Yes",22
"177","/2223-7747/11/22/3058",2022-10-02,2022-11-08,2022-11-10,2022-11-11,"Yes",40
"178","/2223-7747/11/22/3059",2022-10-17,2022-11-07,2022-11-10,2022-11-11,"Yes",25
"179","/2223-7747/11/22/3060",2022-10-18,2022-11-07,2022-11-10,2022-11-11,"Yes",24
"180","/2223-7747/11/22/3061",2022-09-20,2022-10-21,2022-10-31,2022-11-11,"Yes",52
"181","/2223-7747/11/22/3043",2022-10-05,2022-10-19,2022-10-24,2022-11-10,"Yes",36
"182","/2223-7747/11/22/3042",2022-10-05,2022-11-08,2022-11-09,2022-11-10,"Yes",36
"183","/2223-7747/11/22/3044",2022-10-09,2022-11-07,2022-11-07,2022-11-10,"Yes",32
"184","/2223-7747/11/22/3046",2022-10-10,2022-11-03,2022-11-04,2022-11-10,"Yes",31
"185","/2223-7747/11/22/3045",2022-10-11,2022-11-07,2022-11-07,2022-11-10,"Yes",30
"186","/2223-7747/11/22/3047",2022-10-25,2022-11-07,2022-11-09,2022-11-10,"Yes",16
"187","/2223-7747/11/22/3048",2022-10-07,2022-11-03,2022-11-03,2022-11-11,"Yes",35
"188","/2223-7747/11/22/3049",2022-10-11,2022-10-29,2022-11-08,2022-11-11,"Yes",31
"189","/2223-7747/11/22/3050",2022-10-27,2022-11-07,2022-11-08,2022-11-11,"Yes",15
"190","/2223-7747/11/22/3051",2022-10-30,2022-11-04,2022-11-08,2022-11-11,"Yes",12
"191","/2223-7747/11/22/3025",2022-08-31,2022-09-28,2022-11-02,2022-11-09,"Yes",70
"192","/2223-7747/11/22/3033",2022-10-13,2022-11-04,2022-11-06,2022-11-09,"Yes",27
"193","/2223-7747/11/22/3034",2022-10-25,2022-11-04,2022-11-07,2022-11-10,"Yes",16
"194","/2223-7747/11/22/3035",2022-10-11,2022-11-05,2022-11-06,2022-11-10,"Yes",30
"195","/2223-7747/11/22/3038",2022-10-11,2022-11-03,2022-11-03,2022-11-10,"Yes",30
"196","/2223-7747/11/22/3037",2022-10-21,2022-11-04,2022-11-07,2022-11-10,"Yes",20
"197","/2223-7747/11/22/3036",2022-09-28,2022-11-02,2022-11-06,2022-11-10,"Yes",43
"198","/2223-7747/11/22/3039",2022-10-11,2022-10-26,2022-11-02,2022-11-10,"Yes",30
"199","/2223-7747/11/22/3040",2022-10-01,2022-11-05,2022-11-07,2022-11-10,"Yes",40
"200","/2223-7747/11/22/3041",2022-10-10,2022-10-25,2022-11-04,2022-11-10,"Yes",31
"201","/2223-7747/11/22/3022",2022-10-04,2022-10-31,2022-11-06,2022-11-09,"Yes",36
"202","/2223-7747/11/22/3027",2022-08-26,2022-11-03,2022-11-04,2022-11-09,"Yes",75
"203","/2223-7747/11/22/3026",2022-10-04,2022-11-02,2022-11-04,2022-11-09,"Yes",36
"204","/2223-7747/11/22/3023",2022-09-26,2022-10-28,2022-11-06,2022-11-09,"Yes",44
"205","/2223-7747/11/22/3028",2022-10-11,2022-10-31,2022-11-04,2022-11-09,"Yes",29
"206","/2223-7747/11/22/3024",2022-10-04,2022-11-03,2022-11-05,2022-11-09,"Yes",36
"207","/2223-7747/11/22/3031",2022-09-22,2022-11-04,2022-11-07,2022-11-09,"Yes",48
"208","/2223-7747/11/22/3032",2022-09-27,2022-11-03,2022-11-07,2022-11-09,"Yes",43
"209","/2223-7747/11/22/3030",2022-10-05,2022-10-27,2022-11-02,2022-11-09,"Yes",35
"210","/2223-7747/11/22/3012",2022-09-19,2022-10-22,2022-11-01,2022-11-08,"Yes",50
"211","/2223-7747/11/22/3010",2022-10-18,2022-11-01,2022-11-02,2022-11-08,"Yes",21
"212","/2223-7747/11/22/3015",2022-10-10,2022-10-28,2022-11-03,2022-11-08,"No",29
"213","/2223-7747/11/22/3014",2022-09-24,2022-10-30,2022-11-03,2022-11-08,"Yes",45
"214","/2223-7747/11/22/3016",2022-09-23,2022-11-02,2022-11-04,2022-11-08,"Yes",46
"215","/2223-7747/11/22/3017",2022-10-13,2022-11-03,2022-11-05,2022-11-08,"Yes",26
"216","/2223-7747/11/22/3018",2022-10-11,2022-11-03,2022-11-04,2022-11-08,"No",28
"217","/2223-7747/11/22/3020",2022-09-24,2022-11-03,2022-11-06,2022-11-09,"Yes",46
"218","/2223-7747/11/22/3019",2022-10-12,2022-10-25,2022-11-04,2022-11-09,"Yes",28
"219","/2223-7747/11/22/3021",2022-09-13,2022-11-01,2022-11-04,2022-11-09,"Yes",57
"220","/2223-7747/11/21/3004",2022-10-01,2022-10-28,2022-11-03,2022-11-07,"Yes",37
"221","/2223-7747/11/21/2999",2022-09-16,2022-11-02,2022-11-04,2022-11-07,"Yes",52
"222","/2223-7747/11/21/3005",2022-09-30,2022-10-29,2022-11-03,2022-11-07,"Yes",38
"223","/2223-7747/11/21/3002",2022-10-11,2022-11-02,2022-11-04,2022-11-07,"Yes",27
"224","/2223-7747/11/21/3006",2022-10-04,2022-10-24,2022-11-03,2022-11-07,"Yes",34
"225","/2223-7747/11/21/3007",2022-10-10,2022-11-01,2022-11-02,2022-11-07,"Yes",28
"226","/2223-7747/11/21/3008",2022-09-23,2022-10-27,2022-11-03,2022-11-07,"Yes",45
"227","/2223-7747/11/22/3009",2022-09-18,2022-10-03,2022-10-06,2022-11-08,"Yes",51
"228","/2223-7747/11/22/3013",2022-08-18,2022-10-19,2022-11-03,2022-11-08,"Yes",82
"229","/2223-7747/11/22/3011",2022-10-11,2022-11-04,2022-11-05,2022-11-08,"Yes",28
"230","/2223-7747/11/21/2992",2022-09-13,2022-10-30,2022-11-03,2022-11-06,"Yes",54
"231","/2223-7747/11/21/2993",2022-09-08,2022-10-31,2022-11-03,2022-11-06,"Yes",59
"232","/2223-7747/11/21/2994",2022-09-27,2022-11-01,2022-11-02,2022-11-07,"Yes",41
"233","/2223-7747/11/21/2995",2022-10-13,2022-11-01,2022-11-03,2022-11-07,"Yes",25
"234","/2223-7747/11/21/2996",2022-09-12,2022-11-02,2022-11-04,2022-11-07,"Yes",56
"235","/2223-7747/11/21/2997",2022-09-17,2022-11-01,2022-11-02,2022-11-07,"Yes",51
"236","/2223-7747/11/21/3000",2022-09-20,2022-10-14,2022-10-14,2022-11-07,"Yes",48
"237","/2223-7747/11/21/3001",2022-09-14,2022-11-01,2022-11-05,2022-11-07,"Yes",54
"238","/2223-7747/11/21/2998",2022-09-28,2022-10-29,2022-11-03,2022-11-07,"Yes",40
"239","/2223-7747/11/21/3003",2022-09-06,2022-10-04,2022-11-02,2022-11-07,"Yes",62
"240","/2223-7747/11/21/2982",2022-09-22,2022-10-17,2022-10-19,2022-11-04,"Yes",43
"241","/2223-7747/11/21/2983",2022-09-16,2022-10-23,2022-10-27,2022-11-04,"Yes",49
"242","/2223-7747/11/21/2984",2022-10-19,2022-11-01,2022-11-03,2022-11-04,"No",16
"243","/2223-7747/11/21/2985",2022-09-08,2022-10-25,2022-11-01,2022-11-04,"Yes",57
"244","/2223-7747/11/21/2986",2022-10-12,2022-10-31,2022-11-03,2022-11-05,"Yes",24
"245","/2223-7747/11/21/2987",2022-10-10,2022-10-28,2022-11-03,2022-11-05,"Yes",26
"246","/2223-7747/11/21/2988",2022-10-12,2022-10-28,2022-11-02,2022-11-05,"Yes",24
"247","/2223-7747/11/21/2989",2022-10-03,2022-10-29,2022-11-01,2022-11-05,"Yes",33
"248","/2223-7747/11/21/2990",2022-09-22,2022-10-26,2022-11-04,2022-11-06,"Yes",45
"249","/2223-7747/11/21/2991",2022-10-23,2022-11-01,2022-11-03,2022-11-06,"Yes",14
"250","/2223-7747/11/21/2973",2022-09-29,2022-10-27,2022-11-01,2022-11-03,"Yes",35
"251","/2223-7747/11/21/2969",2022-10-02,2022-10-31,2022-10-31,2022-11-03,"Yes",32
"252","/2223-7747/11/21/2971",2022-09-29,2022-10-29,2022-10-31,2022-11-03,"Yes",35
"253","/2223-7747/11/21/2975",2022-10-19,2022-10-27,2022-11-02,2022-11-04,"Yes",16
"254","/2223-7747/11/21/2976",2022-08-21,2022-10-26,2022-11-01,2022-11-04,"Yes",75
"255","/2223-7747/11/21/2978",2022-10-02,2022-10-30,2022-11-02,2022-11-04,"Yes",33
"256","/2223-7747/11/21/2979",2022-10-12,2022-10-31,2022-11-01,2022-11-04,"Yes",23
"257","/2223-7747/11/21/2977",2022-09-15,2022-10-04,2022-10-28,2022-11-04,"Yes",50
"258","/2223-7747/11/21/2981",2022-09-09,2022-10-15,2022-11-01,2022-11-04,"Yes",56
"259","/2223-7747/11/21/2980",2022-09-13,2022-09-29,2022-09-30,2022-11-04,"Yes",52
"260","/2223-7747/11/21/2963",2022-09-20,2022-10-19,2022-10-24,2022-11-02,"Yes",43
"261","/2223-7747/11/21/2961",2022-10-11,2022-10-27,2022-11-01,2022-11-02,"Yes",22
"262","/2223-7747/11/21/2964",2022-09-21,2022-10-16,2022-10-18,2022-11-03,"Yes",43
"263","/2223-7747/11/21/2965",2022-08-25,2022-10-27,2022-10-31,2022-11-03,"Yes",70
"264","/2223-7747/11/21/2966",2022-09-30,2022-10-25,2022-10-31,2022-11-03,"Yes",34
"265","/2223-7747/11/21/2967",2022-09-18,2022-10-12,2022-11-01,2022-11-03,"Yes",46
"266","/2223-7747/11/21/2968",2022-09-16,2022-10-31,2022-11-01,2022-11-03,"Yes",48
"267","/2223-7747/11/21/2970",2022-09-29,2022-10-29,2022-10-30,2022-11-03,"Yes",35
"268","/2223-7747/11/21/2972",2022-09-22,2022-10-13,2022-10-21,2022-11-03,"Yes",42
