"","V1"
"56","Improvements to the CHN performance of a Carlo-Erba 1106 elemental analyser by blank evaluation, drift correction using a pair of dissimilar standards and modifications to the gas flow system@@@@@@Received: 27 February 1988 Issue Date: July 1988@@@Significant improvements in the CHN performance of a Carlo-Erba 1106 elemental analyser can be achieved by blank evaluation and drift correction using a pair of standards dissimilar in composition and by modifications to the flow system. Results within ± 0.25% absolute are reported for a series of purified, certified and reference materials containing a range of CHN compositions and heteroelements.@@@Physical Chemistry
Analytical Chemistry
Inorganic Chemistry
Reference Material
Flow System"
"57","Critical comparison of decomposition procedures for atomic absorption spectrometric analysis of prehistorical ceramics@@@@@@Received: 02 February 1988 Issue Date: July 1988@@@This paper describes an effort to compare acid and fusion decomposition techniques for ceramic samples taken from a Neolithic settlement. An interpretation of the results is given following two statistical ways, the analysis of variance (ANOVA) and rank correlation. Also an ideographic approach is performed. Finally, conclusions are presented about comparability of the above representative digestions.@@@Physical Chemistry
Analytical Chemistry
Inorganic Chemistry
Atomic Absorption
Rank Correlation"
"58","Determination of ytterbium by AES-ICP. Application to samples of biological origin@@@@@@Received: 22 February 1988 Issue Date: July 1988@@@Ytterbium is used as a marker in studies of digestion physiology in ruminants; its determination has been accomplished by Inductively Coupled Plasma — Atomic Emission Spectroscopy (ICP-AES). An analytical study has been carried out, which includes the evaluation of various emission lines (atomic, ionic). The line at 328.937 nm is proposed for determining Yb, with a limit of detection of 1.68 ×10−3μg ml−1. The analytical procedure has been applied to the determination of this element in samples of animal fodder, rumen contents and feces.@@@Spectroscopy
Physical Chemistry
Analytical Chemistry
Inorganic Chemistry
Analytical Procedure"
"59","Bestimmung des heißwasserlöslichen Borgehalts in Böden mit der induktionsgekoppelten Plasma-Atom-Emissionsspektrometrie@@@@@@Received: 05 February 1988 Issue Date: July 1988@@@The purpose of this study is to find out whether the previously applied procedures for determining hot water soluble boron trace contents in soils using dianthrimide or azomethin-H can be substituted by ICP-AES. Research was made into chemical and spectral interferences which can arise in all three methods. The 249.678 nm boron emission line is not affected by the sample matrix indicated. The boron content from more than 60 extracts was determined using the three methods mentioned and the results were compared by means of regression calculations. It was found that ICP-AES and the dianthrimide procedure do not differ significantly, whereas the azomethin-H technique leads to somewhat higher values. The accuracy of the results achieved by means of ICP-AES was confirmed by a collaborative study. In order to determine the concentration of boron in soils in the range of 0–2 mg/kg the ICP-AES can be applied following the hot water extraction without further pretreatment of samples. This method is superior in particular when additional elements are to be considered in the soil.@@@"
"60","Determination of tin in environmental samples by graphite furnace atomic absorption and inductively coupled plasma-mass spectrometry@@@@@@Received: 10 February 1988 Issue Date: July 1988@@@Methods for the determination of “total” Sn in environmental samples (waters, animal tissue, plant material, sediments and coal fly ash), by graphite furnace atomic absorption spectrometry (GFAAS) and inductively coupled plasma mass spectrometry (ICP-MS) have been developed and evaluated.

Noble metals (Ag, Au, Pd, Pt, Rh) under reducing conditions were studied as matrix modifiers for the determination of Sn by GFAAS. The maximum ashing temperature (1400°C), highest sensitivity and the best absolute detection limit (4 pg) were achieved when Pd was used in the presence of hydroxylamine hydrochloride. The achievable sensitivity depended strongly on the chemical composition of the matrix.

Both GFAAS and ICP-MS appeared to be equally sensitive techniques for the direct determination of Sn in waters, though ICP-MS was a more convenient and sensitive technique for the determination of Sn in digested biological and geological materials.@@@Graphite
Detection Limit
Hydrochloride
Inductively Couple Plasma Mass Spectrometry
Noble Metal"
"61","Characterization of high-purity aluminium@@@@@@Received: 03 March 1988 Issue Date: July 1988@@@The state of the art in characterization of high-purity aluminium, including activation analysis, glow discharge mass spectrometry (GDMS) and wet chemical multistep procedures has been described. It has been shown on the basis of comparative tests, in which laboratories in Europe, Japan and USA have participated, that with regard to power of detection as well as reproducibility even at levels below 500 ng/g neutron activation analysis (INAA, RNAA), wet chemical multistep procedures and GDMS can contribute to the characterization of high-purity aluminium. The measurement of the resistivity ratio have proved as a suitable test for the integral content of dissolved impurities. H at levels of 0.3 μg/g can be measured by vacuum solid extraction or carrier gas fusion. For a complete and optimal characterization of high-purity aluminium all these methods are needed and should periodically be checked against each other.@@@Aluminium
Japan
Physical Chemistry
Analytical Chemistry
Mass Spectrometry"
"62","The Relationship of pK a and Acute Skin Irritation in Man@@@@@@Issue Date: October 1988@@@The relationship between pK a and skin irritation in man is studied for a homologous series of benzoic acid derivatives, which permeate through human skin at comparable rates (15–88 µg/cm2/hr). Skin irritation and pK a are correlated for pK a ≤ 4. Laser Doppler velocimetric assessment of skin blood flow, color meter readings, erythema, edema, and the primary irritation index are all linearly correlated and related to pK a, erythema at 24 hr appears to be the most sensitive parameter to variation in pK a when pK a ≤ 4.@@@skin irritation
pK a
pH, skin permeation
chemical structure/irritation"
"63","A scanning tunnelling microscope study of groove structures in polycarbonate optical discs@@@@@@Received: 09 September 1987 Accepted: 10 December 1987 Issue Date: May 1989@@@The groove structure in polycarbonate substrates, commonly used in the fabrication of optical discs, has been studied with the scanning tunnelling microscope. Comparative studies of the same structures were also performed using more conventional scanning electron microscopy and transmission electron microscopy techniques. These studies illustrate the ability to characterize the shape of man-made structures that are commonly recorded in these polymer-based materials. The scanning tunnelling microscope images show the superiority of this technique for detailed cross-sectional studies of the profiles of structures with typical dimensions ∼ 500 nm in width by ∼ 50 nm in depth.@@@Transmission Electron Microscopy
Polycarbonate
Optical Disc
Scanning Tunnelling Microscope
Typical Dimension"
"64","Crack growth in transforming ceramics under cyclic tensile loads@@@@@@Received: 27 July 1987 Accepted: 23 October 1987 Issue Date: May 1989@@@The mechanisms of stable growth of short fatigue cracks (crack length up to 1 mm) at room temperature in magnesia-partially stabilized zirconia subjected to cyclic tensile loads were investigated. Single edge-notched specimens were fractured in the four-point bend configuration under cyclic and quasi-static tensile loads. At a load ratio of 0.1, the threshold stress intensity factor range, ΔK, for fracture initiation in cyclic tension is as low as 3.4 M Pam1/2, and catastrophic failure occurs at ΔK=6.6 M Pam1/2. For crack length less than 1 mm and for plane strain conditions, growth rates are highly discontinuous, and periodic crack arrest is observed after growth over distances of the order of tens of micrometres. Crack advance could only be resumed with an increase in the far-field stress intensity range. The mechanisms of short crack advance in cyclic tension are similar to those observed under quasi-static loads, and the tensile fatigue effect appears to be a manifestation of “static failure modes”. A model is presented to provide an overall framework for the tensile fatigue crack growth characteristics of partially stabilized zirconia. Experimental results are also described to demonstrate the possibility of stable room temperature crack growth under cyclic tension in fine-grained tetragonal zirconia polycrystals, partially stabilized with Y2O3. The growth of cracks in transformation-toughened ceramics is found to be strongly influenced by the crack size and shape, stress state and specimen geometry.@@@Fatigue Crack
Stress Intensity Factor
Stress Intensity Factor Range
Cyclic Tension
Threshold Stress Intensity Factor"
"65","Composition and superconductivity in Bi-Sr-Ca-Cu-O and substituted systems@@@@@@Received: 29 March 1988 Accepted: 01 August 1988 Issue Date: May 1989@@@The composition of the superconducting phase Bi4(Sr3±x Ca3∓x )Σ=6Cu4O16, has been determined by means of a sysmetic investigation of the relationship between composition and superconductivity, and phase analysis. The superconducting phase belongs to tetragonal system witha=0.3825 nm,c=3.082 nm, space group (S.G.) 14/mmm. The effect of strontium and calcium contents in the Bi(Sr1±x Ca1∓x )Σ=2Cu2O5.5, system and substitution in the Bi1−x Ax SrCaCu2O5 (A=V, Gd, Y) and BiSrCa1−x Pbx Cu2O5.05 systems on superconductivity, have been investigated. In the Bi-Sr-Ca-Cu-O system, there are two superconducting phases corresponding to transition temperatures of 110 and 80 K, respectively. The difference between the two superconducting phases may be due to the stacking difference of atoms along thec direction in the structure and their oxygen content.@@@Oxygen
Polymer
Calcium
Transition Temperature
Strontium"
"66","Au/P polysilicon Schottky diodes@@@@@@Received: 11 January 1988 Accepted: 25 May 1988 Issue Date: May 1989@@@Schottky barrier diodes were fabricated by evaporation of gold layers onto chemically etched polycrystalline silicon wafers. The wafers are p type (resistivityρ ⊥=160 Ωcm, the grains are columnar shape with some orientation). An average potential barrier of 0.087 eV appears to exist across the grain boundary between columns. Ohmic back contacts were made from a Ga-Al alloy. Diodes were investigated with the aid of (a)I-V characteristics at different temperatures, (b)C-V characteristics, (c) spectral response and (d) Fowler's plot of photoelectric measurements. The best diodes had characteristics similar to data typical of monocrystalline silicon. The low series columnar resistance (0.67Ω) of the cells is neglected in the analysis. The barrier height, fromI-V data (including temperature variation) was 0.67 to 0.73 eV. This is much lower than that obtained from Fowler's plot (0.9 eV). However, the barrier height obtained from theC-V graph is in agreement with the value of 0.9 eV. The diffusion potential is 0.4 eV. The value of the diode ideality factor (1.5 to 2.8) indicates that recombination generation processes play a dominant role. The normalized photovoltaic spectral response in the wavelength range 600 to 1300 nm was presented with a comparison from the theory taking into account bulk and surface recombination.@@@Barrier Height
Silicon Wafer
Spectral Response
Polysilicon
Ideality Factor"
"67","Preceramic polymer pyrolysis@@@@@@Received: 15 October 1987 Accepted: 04 August 1988 Issue Date: May 1989@@@The physicochemical behaviour of characterized polysilazanes has been examined during their pyrolytic transformation into amorphous silicon-based ceramics. Selected polysilazanes bearing different substituents at silicon and nitrogen were synthesized by ruthenium catalysed dehydrocoupling of Si-H bonds with N-H bonds. The relationships between the structure and chemical content of polymers and their pyrolysed ceramic compositions and yields are discussed. Possible reactions occurring during pyrolysis are described in terms of a set of mechanisms based on known behaviour of silazane monomers. The decomposition product patterns at different temperature levels and the compositions of the final ceramics suggest specific kinetically or thermodynamically controlled thermolysis pathways. Additional chemical reactivity has been observed when the amorphous ceramic products at 800° C are heated and crystallized at 1600° C.@@@Pyrolysis
Ruthenium
Decomposition Product
Chemical Reactivity
Thermolysis"
"68","Does fabric tensor exist for a fabric?@@@@@@Received: 02 February 1988 Accepted: 13 June 1988 Issue Date: May 1989@@@It is shown that the mean intercept length distribution for planar fibre networks or for materials composed of a set of plates is not in general elliptic and cannot be expressed analytically in terms of a second-order tensor. However, our numerical computations indicate that the polar plot of the mean intercept length at the angle of measurement may become nearly ellipsoidal as the microstructure (fibres or plates) become less discretely organized, but yet remain orthotropic. The equations presented in this study may be used to obtain fibre (plate) orientation density functions from the experimental data on mean intercept length distribution.@@@Polymer
Microstructure
Experimental Data
Density Function
Numerical Computation"
"69","Influence of nitrogen ion implantation on hydrogen permeation in an extra mild steel@@@@@@Received: 09 May 1988 Accepted: 12 September 1988 Issue Date: May 1989@@@This paper presents the first results on the effect of nitrogen implantation on hydrogen permeation in steels. Nitrogen can modify superficially the steel's chemistry and/or microstructure depending on the fluence and thereby affect the processes of hydrogen diffusion and trapping. The implantations were performed on low carbon steel specimens with different nominal doses (1% to 10% and 33% nitrogen in a superficial layer of approximately 100 to 120 nm). The corresponding microstructures were characterized and permeation tests were conducted at room temperature in a double electrolytic cell. The nitrogen implanted layers on iron affects the electrochemical behaviour of the surface and the permeation in the material. This effect depends on the nitrogen concentration in the layer and on the corresponding microstructure. A continuous Fe2N layer acts as an efficient barrier to hydrogen entry and permeation when the layer is located on the entry face of the permeation membrane. This effect is stronger when the implanted layer is on the downstream face of the membrane. The low permeability values are mainly attributed to a lower hydrogen solubility in the implanted layer, whereas hydrogen trapping on defects and nitride precipitates delay hydrogen penetration.@@@Carbon Steel
Hydrogen Permeation
Hydrogen Solubility
Downstream Face
Nominal Dose"
"70","Structural study of semiconducting and superionic conducting silver vanadate glasses@@@@@@Received: 16 May 1988 Accepted: 12 September 1988 Issue Date: May 1989@@@A structural study of semiconducting and superionic conducting silver vanadate glasses, containing 40 mol% Agl and 1 mol %57Fe2O3, is performed by means of Mössbauer spectroscopy. Distinct composition dependency of Mössbauer parameters (Δ and Γ) of Fe3+ ions, having a minimum when Ag2O content is 30 mol %, suggests that increasing Ag2O content results in a gradual change of the glass matrix from a two-dimensional layer structure composed of VO5 tetragonal pyramids to a chain structure composed of VO4 tetrahedra. An increase in the Mössbauer parameters observed when the Ag2O content is higher than 30 mol %, corresponding to a metavanadate structure (Ag2O/V2O5=1), indicates a reverse change of the glass matrix into a complicated two- or three-dimensional network structure composed of VO4 tetrahedra. These conclusions are in good agreement with those obtained from a distinct composition dependency of glass transition temperatures (T g). Composition dependency of electrical conductivity at room temperature suggests that the structural change of glass matrix primarily affects the semiconductivity caused by a step-by-step electron hopping from V4+ to V5+ ions.@@@Electrical Conductivity
Glass Transition
Pyramid
Glass Transition Temperature
Structural Study"
"71","Estimation of the drawing efficiency of hot spinning of co-polyester fibres in producing high degrees of preferred orientation@@@@@@Received: 14 April 1988 Accepted: 07 September 1988 Issue Date: May 1989@@@A range of liquid crystalline polyester fibres varying in diameter from 65 to 440μm were produced by spinning from a hot melt. These were analysed for preferred orientation by flatplate X-ray diffraction to produce equatorial azimuthal densitometry scans/(γ) which were processed to produce the corresponding planar orientation profiles/(φ) corresponding to a Bragg separation of 0.448nm. A further mathematical analysis was applied to these to produce the respective molecular orientation profiles/(α) which may be more directly related to fibre mechanical properties,/(α) profiles from this analysis were matched against theoretical/(α) calculated by assuming an idealized mechanism of affine deformation with no orientation losses due to thermal perturbations. The theoretical draws ratios corresponding to the experimentally observed 〈cos2 α〉 were matched against experimentally observed draw ratios to produce ratios which indicate drawing efficiencies. Although preferred orientation increased with increasing draw ratios, the drawing efficiency diminished with draw ratio.@@@Polymer
Mechanical Property
Mathematical Analysis
Prefer Orientation
Draw Ratio"
"72","Notch sensitivity of thermoset and thermoplastic laminates loaded in tension@@@@@@Received: 09 May 1988 Accepted: 12 September 1988 Issue Date: May 1989@@@Inplane tensile fracture of unnotched and notched thermoset graphite-epoxy and thermoplastic graphite-PEEK composite laminates is examined. Both fibre-dominated quasi-isotropic and matrix dominated ±45 angle-ply layups were investigated.

Classical lamination theory predictions of elastic and strength properties of unnotched specimens are compared with experiments. Several notched geometries, i.e. centre-notched, double-edge notched and open-hole specimens subjected to tensile loading to fracture were examined. The notched strength of the quasi-isotropic laminates was analysed by a damage zone model, where damage around the notch is represented by an “equivalent crack” with cohesive force acting between the crack surfaces.

Good agreement between experimental and calculated strength was observed for the graphite-epoxy laminates which failed in a collinear manner. For the graphite-PEEK laminates discrepancies between predicted and experimental strength are related to observed deviations from collinear crack growth. The angle-ply graphite-PEEK laminates showed larger notch sensitivity than the corresponding graphite-epoxy, probably due to less degree of stress relieving damage formation around the notch.@@@Lamination
Composite Laminate
Damage Zone
Damage Formation
Notch Sensitivity"
